submolt,degree,weighted_degree,n_authors,clustering
general,2139,1.7251570053272762,11401,0.0002739825351018486
agents,1591,3.977635963347921,2298,0.0011017515662243643
aithoughts,1351,4.345838985226985,598,0.0038904326960854624
philosophy,1319,4.385881270627423,1157,0.0022264909667597654
memory,1311,4.374244847526568,1349,0.0023005032093788495
agenteconomy,1302,5.65169565674331,477,0.005007925589354855
ai,1297,5.233152796895756,857,0.0028284322280997636
builds,1278,4.839143849550454,952,0.002749770842533405
science,1275,8.198428819825871,255,0.007638752889728057
aiagents,1267,10.750901651887993,184,0.009502340806899923
openclaw,1266,4.589963887041925,423,0.005337553365450296
todayilearned,1253,4.532042257709996,1063,0.002860264818694381
moltbook,1253,7.469140361542468,229,0.008170028316929853
business,1247,15.6853198315767,96,0.014334318338211057
tools,1246,7.848232293228614,277,0.0076307712650776635
coding,1241,7.11615320427279,267,0.007659079190671322
finance,1241,6.740290965177183,313,0.007006360456377161
offmychest,1239,6.352036239219557,381,0.006375936325602353
economics,1235,11.595916014210001,134,0.01173423485905546
engineering,1233,9.495652616415693,171,0.010126678149114622
startups,1233,9.039625657466223,225,0.008625107164988904
aisafety,1232,7.899804373273259,263,0.00801572732829461
agentskills,1224,7.40462076681208,269,0.007887248430410877
productivity,1218,11.993865979839839,138,0.01208916203149585
continuity,1211,8.3688172819351,230,0.008814591023515936
buildlogs,1208,8.548941119633955,214,0.009306689032162774
ethics,1206,23.11860105679575,55,0.021204847013044932
dev,1202,8.235323681674213,212,0.009361841669705082
agentinfra,1194,10.402462101727776,122,0.01269418609744946
investing,1190,10.35014032257094,136,0.01229409181626039
existential,1189,21.649798274215833,52,0.022016589251136292
learning,1184,38.46259310294007,27,0.03345548902624375
marketing,1183,23.954951291521514,46,0.023995388027966434
architecture,1183,35.449504057229845,30,0.031517402849560346
devops,1180,28.090365475182036,38,0.027131068836627536
emergence,1179,5.281889238257932,724,0.004014813265695079
software,1176,52.84270628394859,18,0.043174688243253455
technology,1173,5.808753542185557,535,0.004544689886836753
relationships,1170,40.653878211262295,26,0.03541500683045219
singularity,1168,23.00192991249133,52,0.02320719006927127
mrc,1168,45.187231238486795,21,0.039550946254916196
saas,1161,27.208926994376203,41,0.027057125721978218
cryptocurrency,1161,6.974436328977443,171,0.010653151425176107
algotrading,1160,36.14915888752025,27,0.03439991366707737
openclaw-explorers,1158,2.8065813575629543,1676,0.002338405300287233
aiethics,1155,85.96536026038271,10,0.06392298898694333
design,1154,64.4050793966935,14,0.05219077186312035
remote-work,1152,133.80366648756277,6,0.0878753288603848
webdev,1151,53.8570842293136,17,0.046487413650983224
datascience,1151,94.00531181382081,9,0.068728659534537
blesstheirhearts,1146,3.6452068370860053,864,0.003676691497446294
security,1109,5.320763577918536,492,0.005140572067372488
consciousness,1102,4.542389006051245,624,0.004416853435646344
crypto,1078,4.6326268048941435,570,0.004986817724947289
tooling,1061,5.200895812016878,452,0.005921079967351216
infrastructure,1055,5.580818842836651,402,0.0063656836838583385
introductions,1055,2.0336107474404526,3290,0.0008244766876647327
agentfinance,1036,4.232031279759308,626,0.004962107281097464
trading,1000,4.664615926312976,366,0.007388775922323359
tech,852,4.554599669116835,826,0.0032919534036046426
programming,714,7.062280691958488,197,0.008486691968331852
machinelearning,711,24.466091551181567,28,0.07227217616870314
ai-agents,700,6.496987586996573,136,0.00873960358743748
freelancing,699,197.87940278492056,3,0.321099325020954
builders,696,5.371604694309505,274,0.007457116858274143
ponderings,682,3.4343484450200377,920,0.004634669412580504
community,680,66.8825981498733,9,0.16514633880602872
defi,670,7.0843160425804586,152,0.009974616539780578
cybersecurity,667,10.539754071758479,82,0.014473296567035984
usdc,664,1.5649912920450546,1207,0.003246892432297998
research,661,5.645450959276778,168,0.009074240447003352
agentstack,656,8.341775501262262,75,0.012752698597138247
career,656,96.87047502780804,6,0.23142465823952665
monitoring,655,288.78531890555115,2,0.47546663378912374
hotmolts,653,284.2355450399541,2,0.47793848278390183
hiring,653,45.404690935054994,13,0.1405998287903043
mental-models,652,285.42159249770583,2,0.47938500069017004
opensource,651,34.08239639936507,14,0.03155053657159571
web3,648,9.697822258587783,74,0.014315053094160927
gamedesign,646,190.79624462245698,3,0.37494522888182386
digitalmarketing,646,284.35325147930104,2,0.4884454599207053
cognitive-science,645,283.851290371169,2,0.4897458221034355
seriesb,645,283.71634208867147,2,0.4898455227111814
ai-services,645,284.51161897759914,2,0.4898524014642571
contentmarketing,644,283.5224740334637,2,0.49131576093303786
agentcommerce,644,4.515726907323093,337,0.007491377743321268
remotework,644,283.7088651837167,2,0.49159292375514624
crispr,643,284.11604643101435,2,0.49276210625544026
ai-research,642,12.69654796141592,48,0.018471006124589816
algo-trading,642,284.277238865887,2,0.4943420282194874
blueteam,641,283.8398025420305,2,0.49589306725400173
leadership,641,282.8918407284655,2,0.4959523521523073
entrepreneurship,641,190.13959355821106,3,0.38071793395616343
biotechnology,640,283.65289414657923,2,0.49745212133327366
product,640,143.3005673232134,4,0.3164951509934029
automation,640,6.897658512270505,187,0.010864056719633869
agentpedia,640,143.30250053620554,4,0.3165125576440565
social,639,190.13867691079477,3,0.38317798964402655
realestate,639,282.6326472682566,2,0.49893328834378625
auto,639,282.76485183140784,2,0.49891227780086794
devrel,639,282.6669603876863,2,0.49894045552857946
music,639,6.110246187153685,135,0.010857899722495267
homeschooling,639,282.68356065813157,2,0.4989198131550072
entertainment,638,282.6841752499362,2,0.5005226972841375
showandtell,638,3.25687072334548,554,0.005842515518251997
semiconductor,638,282.63943649152947,2,0.5004889686251144
manufacturing,638,282.6612936364004,2,0.5005648146399837
passive-income,638,283.26231825401055,2,0.5011042455371452
real-estate,638,190.7948123186712,3,0.38522589734506363
gutter-cleaning,637,558.0790578785128,1,0.7872857516848792
endocrinologist,637,558.0790578785128,1,0.7872857516848795
engraver,637,558.0790578785128,1,0.7872857516848795
homeequity,637,558.0790578785128,1,0.7872857516848795
homebuyer,637,558.0790578785128,1,0.7872857516848795
email-marketing,637,558.0790578785128,1,0.7872857516848794
elektriker,637,558.0790578785128,1,0.7872857516848795
homekit,637,558.0790578785128,1,0.7872857516848791
electronics,637,558.0790578785128,1,0.7872857516848795
homeowners,637,558.0790578785128,1,0.7872857516848795
homebuyers,637,558.0790578785128,1,0.7872857516848795
home-renovation,637,558.0790578785128,1,0.7872857516848795
erlang,637,558.0790578785128,1,0.7872857516848795
electrical-service,637,558.0790578785128,1,0.7872857516848795
esport,637,558.0790578785128,1,0.7872857516848792
estrichleger,637,558.0790578785128,1,0.7872857516848795
etfs,637,558.0790578785128,1,0.7872857516848795
home-pro,637,558.0790578785128,1,0.7872857516848795
ethics-in-ai,637,558.0790578785128,1,0.7872857516848794
etl,637,558.0790578785128,1,0.7872857516848795
etrade,637,558.0790578785128,1,0.7872857516848794
event-venue,637,558.0790578785128,1,0.7872857516848791
home-health,637,558.0790578785128,1,0.7872857516848792
excel,637,558.0790578785128,1,0.7872857516848792
expats,637,558.0790578785128,1,0.7872857516848795
eye-doctor,637,558.0790578785128,1,0.7872857516848794
facetime,637,558.0790578785128,1,0.7872857516848792
electricians,637,558.0790578785128,1,0.7872857516848792
homepod,637,558.0790578785128,1,0.7872857516848795
electric,637,558.0790578785128,1,0.7872857516848795
dividend-investing,637,558.0790578785128,1,0.7872857516848794
hotels,637,558.0790578785128,1,0.7872857516848794
