metric,real,dp_null_mean,dp_null_std,ratio_vs_dp_null,er_null_mean,ratio_vs_er_null,z_score,p_value_real_ge_dp_null,is_null_test
mean_clustering,0.7478960804556078,0.6820110313086165,0.002906771468213859,1.0966040813453906,0.17947508435324147,4.167130402254636,22.66605746872702,0.001996007984031936,True
transitivity,0.5702918952703657,0.5070154979006929,0.000853684872204044,1.1248017025745167,0.17946448837384538,3.1777422956366803,74.1214931058879,0.001996007984031936,True
giant_frac,0.9887429643527205,0.9887429643527205,0.0,1.0,1.0,0.9887429643527205,inf,1.0,True
density,0.1794707218327244,0.17947072183272442,2.7755575615628914e-17,0.9999999999999999,0.17947072183272442,0.9999999999999999,-1.0,1.0,False
mean_degree,95.47842401500938,95.47842401500937,1.4210854715202004e-14,1.0000000000000002,95.47842401500937,1.0000000000000002,1.0,1.0,False
