n,m,density,mean_degree,mean_clustering,transitivity,giant_frac
533,25445,0.1794707218327244,95.47842401500938,0.17914441066015463,0.17911417656643056,1.0
533,25445,0.1794707218327244,95.47842401500938,0.18021602319550425,0.18015794608269234,1.0
533,25445,0.1794707218327244,95.47842401500938,0.179342832390008,0.17928010618136675,1.0
533,25445,0.1794707218327244,95.47842401500938,0.17975139363740683,0.17971686617062507,1.0
533,25445,0.1794707218327244,95.47842401500938,0.17934401646547807,0.17932182242830524,1.0
533,25445,0.1794707218327244,95.47842401500938,0.17976486376927012,0.17972814957341632,1.0
533,25445,0.1794707218327244,95.47842401500938,0.1796716133095902,0.17962504316570804,1.0
533,25445,0.1794707218327244,95.47842401500938,0.1793445594807203,0.17926644760463845,1.0
533,25445,0.1794707218327244,95.47842401500938,0.17899497017808202,0.1790036299550744,1.0
533,25445,0.1794707218327244,95.47842401500938,0.17961106919244482,0.17948449326404697,1.0
533,25445,0.1794707218327244,95.47842401500938,0.1792821714067749,0.17931741656488298,1.0
533,25445,0.1794707218327244,95.47842401500938,0.17920110050159813,0.17921108051257523,1.0
533,25445,0.1794707218327244,95.47842401500938,0.1796403204088005,0.17970735133833832,1.0
533,25445,0.1794707218327244,95.47842401500938,0.1794491450750448,0.1794639268747617,1.0
533,25445,0.1794707218327244,95.47842401500938,0.1792145414437431,0.17926247864979641,1.0
533,25445,0.1794707218327244,95.47842401500938,0.17910211611719296,0.17905722224858125,1.0
533,25445,0.1794707218327244,95.47842401500938,0.17925802953840922,0.17923593644435168,1.0
533,25445,0.1794707218327244,95.47842401500938,0.17903118270457255,0.17900989984707621,1.0
533,25445,0.1794707218327244,95.47842401500938,0.1796959159489827,0.17964268146003412,1.0
533,25445,0.1794707218327244,95.47842401500938,0.17977738698037712,0.17977232986070882,1.0
533,25445,0.1794707218327244,95.47842401500938,0.17955111700029455,0.17954051336908988,1.0
533,25445,0.1794707218327244,95.47842401500938,0.1796055055434845,0.17954318607121963,1.0
533,25445,0.1794707218327244,95.47842401500938,0.17973405938154666,0.1797465796084028,1.0
533,25445,0.1794707218327244,95.47842401500938,0.1794743750591084,0.1794641498509878,1.0
533,25445,0.1794707218327244,95.47842401500938,0.1795166837477799,0.1795498787468862,1.0
533,25445,0.1794707218327244,95.47842401500938,0.18016929945030896,0.1801610151110422,1.0
533,25445,0.1794707218327244,95.47842401500938,0.17930242308975086,0.17923578993972708,1.0
533,25445,0.1794707218327244,95.47842401500938,0.1797824087427377,0.17980186563750855,1.0
533,25445,0.1794707218327244,95.47842401500938,0.17923447828956676,0.17927902608971255,1.0
533,25445,0.1794707218327244,95.47842401500938,0.1795837758039796,0.17962797622116053,1.0
533,25445,0.1794707218327244,95.47842401500938,0.1790067251024055,0.17896765800283868,1.0
533,25445,0.1794707218327244,95.47842401500938,0.18007237264438267,0.1800540795848536,1.0
533,25445,0.1794707218327244,95.47842401500938,0.17942530361145526,0.17947380637958124,1.0
533,25445,0.1794707218327244,95.47842401500938,0.1793500406058103,0.17927898949660404,1.0
533,25445,0.1794707218327244,95.47842401500938,0.17946213959357155,0.17935627438167093,1.0
533,25445,0.1794707218327244,95.47842401500938,0.17888545440647613,0.17886757816140203,1.0
533,25445,0.1794707218327244,95.47842401500938,0.17933032304174834,0.1792629093606946,1.0
533,25445,0.1794707218327244,95.47842401500938,0.178186690997698,0.178176279149234,1.0
533,25445,0.1794707218327244,95.47842401500938,0.17994368105056466,0.17985425513886089,1.0
533,25445,0.1794707218327244,95.47842401500938,0.17877483813860162,0.17879585354268385,1.0
533,25445,0.1794707218327244,95.47842401500938,0.17912675021742921,0.1791896657910075,1.0
533,25445,0.1794707218327244,95.47842401500938,0.17963424209425946,0.17956577561897866,1.0
533,25445,0.1794707218327244,95.47842401500938,0.17990309562168438,0.17997823990504686,1.0
533,25445,0.1794707218327244,95.47842401500938,0.1796090541600184,0.17953211358714566,1.0
533,25445,0.1794707218327244,95.47842401500938,0.17971798203850373,0.179701301780027,1.0
533,25445,0.1794707218327244,95.47842401500938,0.179005879039,0.17901059417798615,1.0
533,25445,0.1794707218327244,95.47842401500938,0.18005551608421308,0.1799889927092158,1.0
533,25445,0.1794707218327244,95.47842401500938,0.17942368011263166,0.17943121038034865,1.0
533,25445,0.1794707218327244,95.47842401500938,0.17992725154281922,0.1799805720720442,1.0
533,25445,0.1794707218327244,95.47842401500938,0.17964086473574942,0.17959849013292964,1.0
533,25445,0.1794707218327244,95.47842401500938,0.17985274362999393,0.17977852545010223,1.0
533,25445,0.1794707218327244,95.47842401500938,0.18041199806048722,0.18036366993333006,1.0
533,25445,0.1794707218327244,95.47842401500938,0.17986677888257646,0.17983888561934758,1.0
533,25445,0.1794707218327244,95.47842401500938,0.179131744842299,0.17915135640878357,1.0
533,25445,0.1794707218327244,95.47842401500938,0.17948591129897568,0.17949335088461857,1.0
533,25445,0.1794707218327244,95.47842401500938,0.17936530139421336,0.17935788900440616,1.0
533,25445,0.1794707218327244,95.47842401500938,0.1793505399361821,0.17928582030476944,1.0
533,25445,0.1794707218327244,95.47842401500938,0.17974544236999448,0.1797067346090125,1.0
533,25445,0.1794707218327244,95.47842401500938,0.17943599922066478,0.17943354864820643,1.0
533,25445,0.1794707218327244,95.47842401500938,0.17997759628528118,0.17995215050840085,1.0
533,25445,0.1794707218327244,95.47842401500938,0.17944335869447545,0.1793716297032634,1.0
533,25445,0.1794707218327244,95.47842401500938,0.18028590514123138,0.18018767539684472,1.0
533,25445,0.1794707218327244,95.47842401500938,0.17987303231727608,0.17982889461036167,1.0
533,25445,0.1794707218327244,95.47842401500938,0.1795511211857854,0.1796174656304213,1.0
533,25445,0.1794707218327244,95.47842401500938,0.1786475226658642,0.17860779695759882,1.0
533,25445,0.1794707218327244,95.47842401500938,0.17921839339528273,0.17923249558389728,1.0
533,25445,0.1794707218327244,95.47842401500938,0.17959547190130967,0.17959261170157878,1.0
533,25445,0.1794707218327244,95.47842401500938,0.17952004620533368,0.17961745638582421,1.0
533,25445,0.1794707218327244,95.47842401500938,0.17937326923538463,0.17937973367655066,1.0
