k,phi_real,phi_null_mean,phi_null_lo,phi_null_hi,phi_normalized
2,0.12107243924497477,0.09591886114050045,0.0952477852009608,0.09662744925667624,1.2622380812844487
3,0.13660314830157416,0.10820267240556641,0.10731262082297707,0.10930160584423038,1.2624748101373762
5,0.1609649990112715,0.12763583603655226,0.12625964010282775,0.12950508041181616,1.2611270001410455
8,0.19571019238641016,0.15413059087360972,0.15261850184199754,0.1560964335093535,1.2697686505782397
12,0.22929358648291634,0.18107309535262828,0.178337867944244,0.1840118231212226,1.2663040085352368
20,0.28979429329794293,0.2289301674686546,0.22524080204037333,0.23249063670411985,1.2658632826869438
35,0.37106412319007126,0.28776264806308255,0.2832812192723697,0.29206004647181116,1.2894798045809184
60,0.6558785336130257,0.4891782245900995,0.4778787306582743,0.500891647402116,1.3407762256028681
