k,phi_real,phi_null_mean,phi_null_lo,phi_null_hi,phi_normalized
2,0.12107243924497477,0.09592302398136292,0.09526772082348708,0.09673399541172557,1.2621833030253318
3,0.13660314830157416,0.1081826340986847,0.10732366749516709,0.10923691432949467,1.2627086541169272
5,0.1609649990112715,0.12761454024902424,0.12630611034210007,0.12944042397045957,1.261337451807356
8,0.19571019238641016,0.15412021834418568,0.15254357276948918,0.1562779494750092,1.2698541079752725
12,0.22929358648291634,0.1810689997396898,0.17841427871916615,0.18404943075889943,1.2663326511581532
20,0.28979429329794293,0.22895186846093668,0.22522420939707136,0.2329422613136615,1.2657432989999253
35,0.37106412319007126,0.28789397241766224,0.2834740395420705,0.29215606597959537,1.2888916015641687
60,0.6558785336130257,0.4896223974772055,0.47801771764412515,0.5015047180885872,1.3395599077829365
