min_shared,nodes,edges,density,mean_clustering,rho_full,rho_core
2,2654,29149,0.008279716894979763,0.24072247735573157,0.8986901617062554,-0.7398790688254118
3,2654,12598,0.003578437457304026,0.15381974021818767,0.9241564838002521,-0.7601653848637113
5,2654,4830,0.0013719521288123866,0.08778120535264261,0.9124615643566337,-0.8178205942912699
10,2654,1946,0.000552757524362092,0.04999348968766965,0.9018319649245792,-0.8265227297096779
